company_name,profile_url,company_website,location,tags,founding_date,founders,employee_range,urls,emails,phones,description_short,description
PT. Topindo Solusi Komunika,https://e27.co/startups/topindo/,https://www.topindopulsa.com,Indonesia,E-commerce,2018-3,,,  ,,,"Topindo is Indonesian startup that allows you to topup your mobilephone credit, prepaid-electricity, games voucher, International Top in just seconds.","Topindo is Indonesian startup that allows you to topup your mobilephone credit, prepaid-electricity, games voucher, International Top in just seconds."
abhieo,https://e27.co/startups/abhieo/,https://www.abhieo.in/,India,Array,2018-7,,,"https://www.linkedin.com/company/18829967/admin/, abhieo_in, https://www.facebook.com/abhieo/?modal=admin_todo_tour,",,,"abhieo is a digital fintech Platform , offering a wide range of financial services including loan , insurance , deals & discount coupons , cashback ……","From abhieo :-
a leading financial online matchmaking platform to fulfill every financial aspiration in the safe, simple and speediest way possible through a wide range of Loan :- Mobile or Smartphone Loan , Laptop Loan , Appliance Loan , Personal Loan , Business Loan'"
General Solusindo,https://e27.co/startups/general-solusindo/,https://generalsolusindo.com/,Indonesia,"Consulting,E-commerce,Hardware,Information & Communications Technology,Manufacturing,Marketplace",2011-6,,,"http://mas-bas-a689611b0, AkhiSolusindo, http://Akhi Solusindo,",,,"Kami adalah perusahaan profesional yang bergerak dalam pengadaan jasa IT SOLUTION meliputi CONSULTANT - INTEGRATOR - SUPPLIER TRAINING
FIBER OPTIC - NETWORKING-SSL-NGINX-VIDEO CONFERENCE","Kami adalah perusahaan profesional yang bergerak dalam pengadaan jasa IT SOLUTION . Jasa dan layanan kami meliputi pembangunan, pengembangan dan perawatan infrastruktur teknologi dan informasi termasuk kelengkapannya."
GreenArc Capital,https://e27.co/startups/greenarc-capital/,http://www.greenarccapital.com,Singapore,"Artificial Intelligence,Finance,Platform",2017-9,,,"https://www.linkedin.com/company/greenarc-capital,  ",ronyjpalathinkal@greenarccapital.com,,GreenArc Capital is an AI driven impact investment firm dedicated to fostering sustainable growth and inclusive finance through scalable credit solutions in select emerging markets.,"GreenArc Capital's Lending Aggregation Platform (LAP) is a platform for funding Impact Lenders in Emerging Markets. The platform curates and aggregates transactions targeted at mainstream institutions and other Impact Investors.

LAP enables Institutional Investors to:
- Evaluate Impact Investment opportunities across a wide range of alternative loan origination platforms (LML) and Microfinance Lenders (MFL)

- Facilitate these investments via private security offerings so the investors may subscribe to these easily in their respective markets (US & EU)

- Monitor investments with portfolio management tools that help streamline risk monitoring, financial performance, and automate reporting

- Track and assess the Impact Performance of their investment 

For Financial Institutions, LAP provides an opportunity to deploy balance sheet capital and finance Impact Enterprises at scale in their chosen Emerging Markets"
Kabar Games,https://e27.co/startups/kabar-games/,https://www.kabargames.id,Indonesia,"Gaming,Information & Communications Technology,Media",2017-1,,,"https://www.linkedin.com/company/kabargames, kabargames, https://www.facebook.com/Kabargames,",,,Kabar Games is one of the largest independent publication in Indonesia dedicated to the gaming world ecosystem.,"Kabar Games is one of the largest independent publication in Indonesia dedicated to the gaming world ecosystem. Every month, we influence an audience of 10 million gaming enthusiasts from teenagers, millennials's, and professionals.

Our team is a diverse coalition of digital savvy, web developers, and expert writers who have come together under a united passion: a love of gaming technology and the determination to deliver top-notch content.

We aim to become the #1 engagement platform for gaming and esports in Indonesia by 2021. If you don't want to lose the opportunity to invest in most promising gaming startup in Indonesia ping us at letstalk@gudangpelangi.co.id"
SoftwareBandits,https://e27.co/startups/softwarebandits-inc/,https://en.wikipedia.org/wiki/Software,Albania,"Aerospace,Agritech,Architecture & Construction,Agency & Consulting",2015-1,,,"https://e27.co/editstartup/softwarebandits-inc/,  ",,,"The natural environment encompasses all living and non-living things occurring naturally, meaning in this case not artificial.","Technology (""science of craft"", from Greek τέχνη, techne, ""art, skill, cunning of hand""; and -λογία, -logia[2]) is the sum of techniques, skills, methods, and processes used in the production of goods or services or in the accomplishment of objectives, such as scientific investigation. Technology can be the knowledge of techniques, processes, and the like, or it can be embedded in machines to allow for operation without detailed knowledge of their workings. Systems (e.g. machines) applying technology by taking an input, changing it according to the system's use, and then producing an outcome are referred to as technology systems or technological systems.

The simplest form of technology is the development and use of basic tools. The prehistoric discovery of how to control fire and the later Neolithic Revolution increased the available sources of food, and the invention of the wheel helped humans to travel in and control their environment. Developments in historic times, including the printing press, the telephone, and the Internet, have lessened physical barriers to communication and allowed humans to interact freely on a global scale.

Technology (""science of craft"", from Greek τέχνη, techne, ""art, skill, cunning of hand""; and -λογία, -logia[2]) is the sum of techniques, skills, methods, and processes used in the production of goods or services or in the accomplishment of objectives, such as scientific investigation. Technology can be the knowledge of techniques, processes, and the like, or it can be embedded in machines to allow for operation without detailed knowledge of their workings. Systems (e.g. machines) applying technology by taking an input, changing it according to the system's use, and then producing an outcome are referred to as technology systems or technological systems."
CYBERhythm,https://e27.co/startups/cyberhythm/,https://cyberhythm.cloud,Singapore,"Cybersecurity,Software as a Service",2019-10,,,"https://www.linkedin.com/company/cyberhythmcloud/,  https://www.facebook.com/cyberhythmcloud/,",,,We help protect your business on the cloud the smart way. Sign up for CYBERhythm - get 24/7 protection with guided and automated response fo,"At CYBERhythm, we offer 24/7 cloud asset protection and automated threat detection and containment features. We help to quickly detect and respond to cyber security threats to your business in the cloud by using statistics, machine learning and other advanced security analytics along with advanced threat intelligence.

We support multi-cloud and deliver unified security detection and response across all the major cloud players. All the integration work is API-based. So, do not worry about the lengthy and complex offerings. We want to ensure the on-boarding process seamless and transparent for our customers. You can then visualize the security posture accords all multi-clouds at a glance on an easy navigable dashboard. 

With your cloud assets secured, you can focus on strengthening other areas of your business!"
Lystloc Inc.,https://e27.co/startups/lystloc-inc/,https://www.lystloc.com,United States of America,"Software as a Service,Information & Communications Technology,Big Data",2017-1,,,"https://www.linkedin.com/company/lystloc, lystloc, https://www.facebook.com/lystloc,",,,"Lystloc is a location intelligence mobile application to manage your sales team, field support team, and office employees.","Lystloc is a Location Intelligence and Analytics SaaS product company providing complete solutions on location based challenges to our customers. Lystloc started as an in-house product intended to track our on-field and office users attendance by location via mobile app rather than hardware punch cards.

It worked out very well for us saving a lot of time and money. It was then a natural progression to develop this as a SaaS product for other companies who go through similar day to day problems on locations. So, Lystloc is an one-stop shop for all your location based solutions. We are the market leading SaaS solution in real-time location intelligence for your workforce or
vehicles or API integrations.

Some of the key features in Lystloc include:
Real-time Tracking
Attendance
Geo-fence Attendance
Timeline
Route Taken
Distance Traveled by the user
Working Hours of user
Battery Level of Device
Meeting Notes
History"
Transwap,https://e27.co/startups/transwap-1/,https://transwap.com/,Singapore,Finance,2015-1,,,  ,startups@e27.sg,,Making Your Money Transfer Abroad Convenient and Cost-Effective.,"Making Your Money Transfer Abroad Convenient and Cost-Effective.

The world is changing around us with internet technology. TranSwap was created because we believe that with today's technology, business owners should be empowered to send money and make payments aboard at a great exchange rate."
Manatal,https://e27.co/startups/manatal/,https://www.manatal.com/,Thailand,"Artificial Intelligence,Big Data,Human Resources,Productivity & CRM,Software as a Service,Enterprise Solution,Information & Communications Technology",2018-7,,,"https://www.linkedin.com/company/manatal/, manatalapp, https://www.facebook.com/manatalapp/,",,,"Manatal is a leading AI based recruitment SaaS focusing on emerging markets.
Headquartered in Bangkok. Clients in 60+ countries with key regions: SEA and Middle East.","Manatal is the next generation of recruitment software. Easy to implement and built with the latest technologies, the platform was designed to streamline and simplify recruitment processes from sourcing to onboarding and beyond.

Hire better and faster by funneling your recruitment channels into one intuitive platform. Leverage AI tools and social media enrichment features, manage your team remotely and improve collaboration, take advantage of a full reporting suite, and much more.

Transform the way you recruit with the ultimate cloud-based hiring tool and drive your recruitment metrics to new highs!"
